text,label
Ben Stein Calls Out 9th Circuit Court: Committed a ‘Coup d’état’ Against the Constitution,FAKE
Trump drops Steve Bannon from National Security Council,REAL
Puerto Rico expects U.S. to lift Jones Act shipping restrictions,REAL
 OOPS: Trump Just Accidentally Confirmed He Leaked Israeli Intelligence To Russia (VIDEO),FAKE
Donald Trump heads for Scotland to reopen a golf resort,REAL
 Paul Ryan Responds To Dem’s Sit-In On Gun Control In The Most DISGUSTING Way (VIDEO),FAKE
AWESOME! DIAMOND AND SILK Rip Into The Press: “We don’t believe you!” [Video],FAKE
"STAND UP AND CHEER! UKIP Party Leader SLAMS Germany, France And EU Invasion Of Phony Refugees [VIDEO]",FAKE
North Korea shows no sign it is serious about talking: U.S. official,REAL
Trump signals willingness to raise U.S. minimum wage,REAL
New Jersey's Christie mulls run to lead Republican Party: report,REAL
WHERE’S HILLARY? CLINTON SPOTTED Dining Alone,FAKE
"France, Germany want Iran to reverse ballistic missile program",REAL
Aide to EU Commission head tweets picture of white smoke at Brexit meeting with May,REAL
"Trump Issues Warning To “200,000 man army” That “Could be ISIS ” [Video]",FAKE
U.S. gives Laos extra $90 million to help clear unexploded ordnance,REAL
JUDGE DECLARES BABY NAME “Illegal” To Prevent Her From “Emotional Harm”,FAKE
 Paul Ryan Takes A Monumentally HUMILIATING Photo With A Constituent Who EXPERTLY Trolled Him (IMAGE),FAKE
" Republicans Dine With Trump, Then Try To Railroad Comey Into Clearing Him (VIDEO)",FAKE
U.S. House panel offers alternative to retirement adviser rule,REAL
" This New Poll Is TERRIFIC News For Democrats, Really BAD NEWS For Trump",FAKE
BOOM! KELLYANNE CONWAY Schools CNN’s Anderson Cooper On The Comey Firing [Video],FAKE
"Trump, tech tycoons talk overhaul of H1B visas",REAL
"Governor of Yemen's interim capital resigns, accuses PM of corruption",REAL
"U.S. military can withstand the sage grouse, lawmakers say",REAL
 It Looks Like The Trump Campaign Just Got This Reporter Arrested,FAKE
 Asian American Organizations RAIN HELL Upon Fox News For Racist Chinatown Segment,FAKE
OUCH! BUSH “BESTIE” Goes Against GOP Elites…ENDORSES TRUMP [VIDEO],FAKE
Carter says defense relationship with Philippines is strong,REAL
"Factbox - Battle for Raqqa, Islamic State's Syrian HQ near end",REAL
Images suggest North Korea 'aggressive' work on ballistic missile submarine: institute,REAL
Venezuela's chronic shortages give rise to 'medical flea markets',REAL
 WATCH: Bill Maher Hilariously Thanks Trump For Exposing Hypocritical Evangelicals,FAKE
OUCH! NEW EMAILS Show Hillary Didn’t Want To Fly In Same Plane As Michelle Obama,FAKE
China urges North Korea not to go further in a 'dangerous direction',REAL
Tennessee bill would allow counselors to deny service based on religion,REAL
Trump says only role for U.S. in Libya is defeating Islamic State,REAL
#CrookedHillary Uses Twitter To Accuse Trump Of Being A “Racist”…Forgets To Mention $20K+ In Donations From KKK In 2016 [VIDEO],FAKE
 Dem Senator ‘Increasingly Concerned’ Trump Will Fire Mueller And Rosenstein To Stop Russia Probe,FAKE
Iran sanctions initial steps in response to 'provocative' behavior: U.S. officials,REAL
"Georgia governor orders evacuation of Savannah, coast ahead of Irma",REAL
WHOA! RUSH LIMBAUGH RIPS Into Republicans Who Don’t Support Trump [Audio],FAKE
WATCH: AMAZING THING HAPPENED When H.S. Valedictorian Stepped Up To Podium After ATHEIST Group Told Grads They Could No Longer Recite The Lord’s Prayer,FAKE
